0,360,160,-80,0.7,0.1,0.3,0,0,0,0
0,520,160,200,0.3,0.1,0.3,0,0,0,0
0,280,160,440,0.6,0.1,0.6,0,0,0,0
9,280,200,480,0.1,0.1,0.1,0,0,0,0
9,200,200,520,0.1,0.1,0.1,0,0,0,0
9,200,200,360,0.1,0.1,0.1,0,0,0,0
9,360,200,360,0.1,0.1,0.1,0,0,0,0
9,280,200,400,0.1,0.1,0.1,0,0,0,0
0,0,160,440,0.3,0.1,0.3,0,0,0,0
0,120,160,440,0.1,0.1,0.1,0,0,0,0
7,0,40,-400,0.1,0.1,0.1,0,0,0,0
8,240,200,-80,0.1,0.1,0.1,0,0,0,0
8,520,200,200,0.1,0.1,0.1,0,0,0,0
6,0,200,440,0.1,0.1,0.1,0,0,0,0
4,520,160,40,0.3,0.1,0.3,0,0,0,0
0,0,0,-320,0.3,0.1,0.6,0,0,0,0
0,0,0,-80,0.3,0.1,0.3,0,0,0,0
0,0,40,-40,0.3,0.1,0.1,0,0,0,0
10,640,160,520,0.1,0.1,0.1,0,0.75,0,800
0,0,0,-170,0.1,0.1,0.1,0,0,0,0
5,120,80,-80,0.1,0.1,0.1,0,0,0,40
5,160,120,-80,0.1,0.1,0.1,0,0,0,40
5,200,160,-80,0.1,0.1,0.1,0,0,0,40
5,80,40,-80,0.1,0.1,0.1,0,0,0,40
9,0,40,-80,0.1,0.1,0.1,0,0,0,0
